unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.67867E+12,3/13/2023 0:00,BTC/USD,22091,22698,21963,22451,8419694.646,375.0253729
1.67866E+12,3/12/2023 23:00,BTC/USD,21781,22193,21689,22083,5982937.947,270.9295814
1.67866E+12,3/12/2023 22:00,BTC/USD,21355,22000,21190,21781,14019592.34,643.6615553
1.67865E+12,3/12/2023 21:00,BTC/USD,21353,21365,21233,21362,2254953.319,105.5590918
1.67865E+12,3/12/2023 20:00,BTC/USD,20868,21439,20850,21354,4793410.218,224.4736451
1.67865E+12,3/12/2023 19:00,BTC/USD,21154,21289,20825,20859,8793489.091,421.5681045
1.67864E+12,3/12/2023 18:00,BTC/USD,20874,21395,20791,21154,18910678.88,893.9528636
1.67864E+12,3/12/2023 17:00,BTC/USD,20463,20964,20440,20872,10088801.47,483.3653444
1.67864E+12,3/12/2023 16:00,BTC/USD,20440,20484,20430,20462,1103594.926,53.9338738
1.67863E+12,3/12/2023 15:00,BTC/USD,20412,20484,20357,20446,7283297.379,356.2211376
1.67863E+12,3/12/2023 14:00,BTC/USD,20455,20478,20399,20414,10763423.11,527.256937
1.67863E+12,3/12/2023 13:00,BTC/USD,20442,20520,20436,20455,1154753.2,56.45334637
1.67862E+12,3/12/2023 12:00,BTC/USD,20511,20512,20399,20442,2402165.502,117.5112759
1.67862E+12,3/12/2023 11:00,BTC/USD,20495,20548,20487,20512,962745.5881,46.93572485
1.67862E+12,3/12/2023 10:00,BTC/USD,20449,20504,20442,20495,134694.0166,6.57204277
1.67861E+12,3/12/2023 9:00,BTC/USD,20456,20497,20437,20450,368023.5743,17.9962628
1.67861E+12,3/12/2023 8:00,BTC/USD,20423,20469,20415,20456,532260.8318,26.01979037
1.6786E+12,3/12/2023 7:00,BTC/USD,20400,20443,20363,20422,1110406.242,54.37304096
1.6786E+12,3/12/2023 6:00,BTC/USD,20422,20451,20394,20400,2073724.323,101.6531531
1.6786E+12,3/12/2023 5:00,BTC/USD,20452,20522,20416,20423,14519530.7,710.9401509
1.67859E+12,3/12/2023 4:00,BTC/USD,20435,20460,20393,20455,3629979.919,177.4617413
1.67859E+12,3/12/2023 3:00,BTC/USD,20441,20525,20412,20434,3622207.557,177.2637544
1.67859E+12,3/12/2023 2:00,BTC/USD,20480,20487,20379,20436,1333571.038,65.25597173
